#,נישה,עיר,שאילתת חיפוש,תוצאות צפויות,שיעור ללא אתר,לידים צפויים,עדיפות,סטטוס
41,פנצ'ריה,רמת גן,פנצ'ריה רמת גן,20,60%,12,א,לא הורץ
42,פנצ'ריה,אשקלון,פנצ'ריה אשקלון,20,60%,12,א,לא הורץ
43,שטיפת רכב,רחובות,שטיפת רכב רחובות,20,55%,11,א,לא הורץ
44,שטיפת רכב,בת ים,שטיפת רכב בת ים,20,55%,11,א,לא הורץ
45,שטיפת רכב,כפר סבא,שטיפת רכב כפר סבא,20,55%,11,א,לא הורץ
46,מאפייה,הרצליה,מאפייה הרצליה,20,45%,9,ב,לא הורץ
47,מאפייה,חדרה,מאפייה חדרה,20,45%,9,ב,לא הורץ
48,מאפייה,מודיעין,מאפייה מודיעין,20,45%,9,ב,לא הורץ
49,קונדיטוריה,לוד,קונדיטוריה לוד,20,40%,8,ב,לא הורץ
50,קונדיטוריה,רמלה,קונדיטוריה רמלה,20,40%,8,ב,לא הורץ
51,קונדיטוריה,רעננה,קונדיטוריה רעננה,20,40%,8,ב,לא הורץ
52,פלאפל,גבעתיים,פלאפל גבעתיים,20,55%,11,א,לא הורץ
53,פלאפל,קריית גת,פלאפל קריית גת,20,55%,11,א,לא הורץ
54,פלאפל,נצרת,פלאפל נצרת,20,55%,11,א,לא הורץ
55,שווארמה,עפולה,שווארמה עפולה,20,50%,10,א,לא הורץ
56,שווארמה,טבריה,שווארמה טבריה,20,50%,10,א,לא הורץ
57,שווארמה,אילת,שווארמה אילת,20,50%,10,א,לא הורץ
58,קייטרינג,יבנה,קייטרינג יבנה,20,35%,7,ג,לא הורץ
59,קייטרינג,נס ציונה,קייטרינג נס ציונה,20,35%,7,ג,לא הורץ
60,קייטרינג,דימונה,קייטרינג דימונה,20,35%,7,ג,לא הורץ
61,סטודיו פילאטיס,תל אביב,סטודיו פילאטיס תל אביב,20,30%,6,ג,לא הורץ
62,סטודיו פילאטיס,ירושלים,סטודיו פילאטיס ירושלים,20,30%,6,ג,לא הורץ
63,סטודיו פילאטיס,חיפה,סטודיו פילאטיס חיפה,20,30%,6,ג,לא הורץ
64,מאמן כושר אישי,ראשון לציון,מאמן כושר אישי ראשון לציון,20,40%,8,ב,לא הורץ
65,מאמן כושר אישי,פתח תקווה,מאמן כושר אישי פתח תקווה,20,40%,8,ב,לא הורץ
66,מאמן כושר אישי,אשדוד,מאמן כושר אישי אשדוד,20,40%,8,ב,לא הורץ
67,פנסיון כלבים,נתניה,פנסיון כלבים נתניה,20,45%,9,ב,לא הורץ
68,פנסיון כלבים,באר שבע,פנסיון כלבים באר שבע,20,45%,9,ב,לא הורץ
69,פנסיון כלבים,בני ברק,פנסיון כלבים בני ברק,20,45%,9,ב,לא הורץ
70,וטרינר,חולון,וטרינר חולון,20,30%,6,ג,לא הורץ
71,וטרינר,רמת גן,וטרינר רמת גן,20,30%,6,ג,לא הורץ
72,וטרינר,אשקלון,וטרינר אשקלון,20,30%,6,ג,לא הורץ
73,פיזיותרפיה,רחובות,פיזיותרפיה רחובות,20,35%,7,ג,לא הורץ
74,פיזיותרפיה,בת ים,פיזיותרפיה בת ים,20,35%,7,ג,לא הורץ
75,פיזיותרפיה,כפר סבא,פיזיותרפיה כפר סבא,20,35%,7,ג,לא הורץ
76,רפלקסולוגיה,הרצליה,רפלקסולוגיה הרצליה,20,50%,10,א,לא הורץ
77,רפלקסולוגיה,חדרה,רפלקסולוגיה חדרה,20,50%,10,א,לא הורץ
78,רפלקסולוגיה,מודיעין,רפלקסולוגיה מודיעין,20,50%,10,א,לא הורץ
79,גן ילדים פרטי,לוד,גן ילדים פרטי לוד,20,50%,10,א,לא הורץ
80,גן ילדים פרטי,רמלה,גן ילדים פרטי רמלה,20,50%,10,א,לא הורץ
81,גן ילדים פרטי,רעננה,גן ילדים פרטי רעננה,20,50%,10,א,לא הורץ
82,צהרון,גבעתיים,צהרון גבעתיים,20,55%,11,א,לא הורץ
83,צהרון,קריית גת,צהרון קריית גת,20,55%,11,א,לא הורץ
84,צהרון,נצרת,צהרון נצרת,20,55%,11,א,לא הורץ
85,מורה נהיגה,עפולה,מורה נהיגה עפולה,20,60%,12,א,לא הורץ
86,מורה נהיגה,טבריה,מורה נהיגה טבריה,20,60%,12,א,לא הורץ
87,מורה נהיגה,אילת,מורה נהיגה אילת,20,60%,12,א,לא הורץ
88,צלם אירועים,יבנה,צלם אירועים יבנה,20,35%,7,ג,לא הורץ
89,צלם אירועים,נס ציונה,צלם אירועים נס ציונה,20,35%,7,ג,לא הורץ
90,צלם אירועים,דימונה,צלם אירועים דימונה,20,35%,7,ג,לא הורץ
91,די ג'יי לאירועים,תל אביב,די ג'יי לאירועים תל אביב,20,40%,8,ב,לא הורץ
92,די ג'יי לאירועים,ירושלים,די ג'יי לאירועים ירושלים,20,40%,8,ב,לא הורץ
93,די ג'יי לאירועים,חיפה,די ג'יי לאירועים חיפה,20,40%,8,ב,לא הורץ
94,מסגריה,ראשון לציון,מסגריה ראשון לציון,20,60%,12,א,לא הורץ
95,מסגריה,פתח תקווה,מסגריה פתח תקווה,20,60%,12,א,לא הורץ
96,מסגריה,אשדוד,מסגריה אשדוד,20,60%,12,א,לא הורץ
97,נגריה,נתניה,נגריה נתניה,20,50%,10,א,לא הורץ
98,נגריה,באר שבע,נגריה באר שבע,20,50%,10,א,לא הורץ
99,נגריה,בני ברק,נגריה בני ברק,20,50%,10,א,לא הורץ
100,אלומיניום,חולון,אלומיניום חולון,20,50%,10,א,לא הורץ
101,אלומיניום,רמת גן,אלומיניום רמת גן,20,50%,10,א,לא הורץ
102,אלומיניום,אשקלון,אלומיניום אשקלון,20,50%,10,א,לא הורץ
103,שיפוצים,רחובות,שיפוצים רחובות,20,45%,9,ב,לא הורץ
104,שיפוצים,בת ים,שיפוצים בת ים,20,45%,9,ב,לא הורץ
105,שיפוצים,כפר סבא,שיפוצים כפר סבא,20,45%,9,ב,לא הורץ
106,טכנאי מזגנים,הרצליה,טכנאי מזגנים הרצליה,20,50%,10,א,לא הורץ
107,טכנאי מזגנים,חדרה,טכנאי מזגנים חדרה,20,50%,10,א,לא הורץ
108,טכנאי מזגנים,מודיעין,טכנאי מזגנים מודיעין,20,50%,10,א,לא הורץ
109,תיקון סלולר,לוד,תיקון סלולר לוד,20,55%,11,א,לא הורץ
110,תיקון סלולר,רמלה,תיקון סלולר רמלה,20,55%,11,א,לא הורץ
111,תיקון סלולר,רעננה,תיקון סלולר רעננה,20,55%,11,א,לא הורץ
112,חנות פרחים,גבעתיים,חנות פרחים גבעתיים,20,40%,8,ב,לא הורץ
113,חנות פרחים,קריית גת,חנות פרחים קריית גת,20,40%,8,ב,לא הורץ
114,חנות פרחים,נצרת,חנות פרחים נצרת,20,40%,8,ב,לא הורץ
115,בגדי ילדים,עפולה,בגדי ילדים עפולה,20,45%,9,ב,לא הורץ
116,בגדי ילדים,טבריה,בגדי ילדים טבריה,20,45%,9,ב,לא הורץ
117,בגדי ילדים,אילת,בגדי ילדים אילת,20,45%,9,ב,לא הורץ
118,תיקון נעליים,יבנה,תיקון נעליים יבנה,20,65%,13,א,לא הורץ
119,תיקון נעליים,נס ציונה,תיקון נעליים נס ציונה,20,65%,13,א,לא הורץ
120,תיקון נעליים,דימונה,תיקון נעליים דימונה,20,65%,13,א,לא הורץ
